g,popu,collect(g1)
"{name:downtempo,lpa:156,gid:downtempo}",4,"[{name:minimal,lpa:223,gid:minimal},{name:techno,lpa:232,gid:techno},{name:chillout,lpa:307,gid:chillout},{name:electronica,lpa:192,gid:electronica},{name:fusion,lpa:139,gid:fusion},{name:experimental,lpa:329,gid:experimental},{name:disco,lpa:146,gid:disco},{name:industrial,lpa:342,gid:industrial},{name:soul,lpa:303,gid:soul},{name:soul,lpa:303,gid:soul},{name:techno,lpa:232,gid:techno},{name:experimental,lpa:329,gid:experimental},{name:fusion,lpa:139,gid:fusion},{name:minimal,lpa:223,gid:minimal},{name:electronica,lpa:192,gid:electronica},{name:industrial,lpa:342,gid:industrial},{name:chillout,lpa:307,gid:chillout},{name:disco,lpa:146,gid:disco}]"
"{name:bluegrass,lpa:157,gid:bluegrass}",1,"[{name:bebop,lpa:218,gid:bebop},{name:jazz,lpa:339,gid:jazz},{name:jazz,lpa:339,gid:jazz},{name:bebop,lpa:218,gid:bebop}]"
"{name:idm,lpa:162,gid:idm}",4,"[{name:dance,lpa:239,gid:dance},{name:electro,lpa:127,gid:electro},{name:electronic,lpa:163,gid:electronic},{name:electro,lpa:127,gid:electro},{name:electronic,lpa:163,gid:electronic},{name:dance,lpa:239,gid:dance}]"
"{name:electronic,lpa:163,gid:electronic}",5,"[{name:trance,lpa:281,gid:trance},{name:idm,lpa:162,gid:idm},{name:dance,lpa:239,gid:dance},{name:dubstep,lpa:1,gid:dubstep},{name:house,lpa:321,gid:house},{name:electro,lpa:127,gid:electro},{name:instrumental,lpa:137,gid:instrumental},{name:techno,lpa:232,gid:techno},{name:minimal,lpa:223,gid:minimal},{name:techno,lpa:232,gid:techno},{name:dubstep,lpa:1,gid:dubstep},{name:trance,lpa:281,gid:trance},{name:house,lpa:321,gid:house},{name:electro,lpa:127,gid:electro},{name:minimal,lpa:223,gid:minimal},{name:instrumental,lpa:137,gid:instrumental},{name:idm,lpa:162,gid:idm},{name:dance,lpa:239,gid:dance}]"
"{name:psychedelic,lpa:164,gid:psychedelic}",15,"[{name:glam,lpa:200,gid:glam},{name:folk,lpa:322,gid:folk},{name:trance,lpa:281,gid:trance},{name:progressive,lpa:328,gid:progressive},{name:rockabilly,lpa:144,gid:rockabilly},{name:indie,lpa:145,gid:indie},{name:metal,lpa:354,gid:metal},{name:experimental,lpa:329,gid:experimental},{name:blues,lpa:337,gid:blues},{name:rock,lpa:165,gid:rock},{name:fusion,lpa:139,gid:fusion},{name:ballad,lpa:211,gid:ballad},{name:pop,lpa:313,gid:pop},{name:jazz,lpa:339,gid:jazz},{name:rave,lpa:256,gid:rave},{name:shoegaze,lpa:229,gid:shoegaze},{name:punk,lpa:282,gid:punk},{name:soul,lpa:303,gid:soul},{name:blues,lpa:337,gid:blues},{name:rockabilly,lpa:144,gid:rockabilly},{name:soul,lpa:303,gid:soul},{name:fusion,lpa:139,gid:fusion},{name:ballad,lpa:211,gid:ballad},{name:jazz,lpa:339,gid:jazz},{name:trance,lpa:281,gid:trance},{name:folk,lpa:322,gid:folk},{name:punk,lpa:282,gid:punk},{name:rave,lpa:256,gid:rave},{name:pop,lpa:313,gid:pop},{name:indie,lpa:145,gid:indie},{name:metal,lpa:354,gid:metal},{name:glam,lpa:200,gid:glam},{name:shoegaze,lpa:229,gid:shoegaze},{name:progressive,lpa:328,gid:progressive},{name:experimental,lpa:329,gid:experimental},{name:rock,lpa:165,gid:rock}]"
"{name:rock,lpa:165,gid:rock}",261,"[{name:punk,lpa:282,gid:punk},{name:disco,lpa:146,gid:disco},{name:metal,lpa:354,gid:metal},{name:rockabilly,lpa:144,gid:rockabilly},{name:jazz,lpa:339,gid:jazz},{name:drone,lpa:124,gid:drone},{name:trap,lpa:379,gid:trap},{name:tango,lpa:148,gid:tango},{name:swing,lpa:340,gid:swing},{name:grindcore,lpa:244,gid:grindcore},{name:funk,lpa:348,gid:funk},{name:ambient,lpa:170,gid:ambient},{name:rave,lpa:256,gid:rave},{name:pop,lpa:313,gid:pop},{name:ballad,lpa:211,gid:ballad},{name:country,lpa:181,gid:country},{name:grunge,lpa:7,gid:grunge},{name:shoegaze,lpa:229,gid:shoegaze},{name:garage,lpa:183,gid:garage},{name:blues,lpa:337,gid:blues},{name:folk,lpa:322,gid:folk},{name:ska,lpa:135,gid:ska},{name:orchestral,lpa:8,gid:orchestral},{name:fusion,lpa:139,gid:fusion},{name:soul,lpa:303,gid:soul},{name:house,lpa:321,gid:house},{name:noise,lpa:230,gid:noise},{name:dance,lpa:239,gid:dance},{name:electro,lpa:127,gid:electro},{name:experimental,lpa:329,gid:experimental},{name:progressive,lpa:328,gid:progressive},{name:musical,lpa:357,gid:musical},{name:milonga,lpa:378,gid:milonga},{name:indie,lpa:145,gid:indie},{name:opera,lpa:314,gid:opera},{name:reggae,lpa:338,gid:reggae},{name:glam,lpa:200,gid:glam},{name:minimal,lpa:223,gid:minimal},{name:psychedelic,lpa:164,gid:psychedelic},{name:musical,lpa:357,gid:musical},{name:rockabilly,lpa:144,gid:rockabilly},{name:rave,lpa:256,gid:rave},{name:jazz,lpa:339,gid:jazz},{name:noise,lpa:230,gid:noise},{name:swing,lpa:340,gid:swing},{name:folk,lpa:322,gid:folk},{name:country,lpa:181,gid:country},{name:blues,lpa:337,gid:blues},{name:metal,lpa:354,gid:metal},{name:progressive,lpa:328,gid:progressive},{name:dance,lpa:239,gid:dance},{name:grunge,lpa:7,gid:grunge},{name:milonga,lpa:378,gid:milonga},{name:psychedelic,lpa:164,gid:psychedelic},{name:grindcore,lpa:244,gid:grindcore},{name:orchestral,lpa:8,gid:orchestral},{name:drone,lpa:124,gid:drone},{name:experimental,lpa:329,gid:experimental},{name:opera,lpa:314,gid:opera},{name:fusion,lpa:139,gid:fusion},{name:tango,lpa:148,gid:tango},{name:ambient,lpa:170,gid:ambient},{name:electro,lpa:127,gid:electro},{name:funk,lpa:348,gid:funk},{name:trap,lpa:379,gid:trap},{name:house,lpa:321,gid:house},{name:ska,lpa:135,gid:ska},{name:ballad,lpa:211,gid:ballad},{name:shoegaze,lpa:229,gid:shoegaze},{name:disco,lpa:146,gid:disco},{name:minimal,lpa:223,gid:minimal},{name:punk,lpa:282,gid:punk},{name:pop,lpa:313,gid:pop},{name:indie,lpa:145,gid:indie},{name:soul,lpa:303,gid:soul},{name:glam,lpa:200,gid:glam},{name:reggae,lpa:338,gid:reggae},{name:garage,lpa:183,gid:garage}]"
"{name:guaracha,lpa:168,gid:guaracha}",2,"[{name:house,lpa:321,gid:house},{name:house,lpa:321,gid:house}]"
"{name:latin,lpa:169,gid:latin}",139,"[{name:milonga,lpa:378,gid:milonga},{name:funk,lpa:348,gid:funk},{name:electro,lpa:127,gid:electro},{name:tango,lpa:148,gid:tango},{name:flamenco,lpa:136,gid:flamenco},{name:bachata,lpa:11,gid:bachata},{name:salsa,lpa:201,gid:salsa},{name:pop,lpa:313,gid:pop},{name:soul,lpa:303,gid:soul},{name:bebop,lpa:218,gid:bebop},{name:jazz,lpa:339,gid:jazz},{name:house,lpa:321,gid:house},{name:kizomba,lpa:371,gid:kizomba},{name:bossa nova,lpa:203,gid:bossa nova},{name:reggaeton,lpa:350,gid:reggaeton},{name:instrumental,lpa:137,gid:instrumental},{name:club,lpa:208,gid:club},{name:trance,lpa:281,gid:trance},{name:dance,lpa:239,gid:dance},{name:disco,lpa:146,gid:disco},{name:rave,lpa:256,gid:rave},{name:techno,lpa:232,gid:techno},{name:trap,lpa:379,gid:trap},{name:opera,lpa:314,gid:opera},{name:electro,lpa:127,gid:electro},{name:soul,lpa:303,gid:soul},{name:trance,lpa:281,gid:trance},{name:club,lpa:208,gid:club},{name:disco,lpa:146,gid:disco},{name:instrumental,lpa:137,gid:instrumental},{name:opera,lpa:314,gid:opera},{name:pop,lpa:313,gid:pop},{name:funk,lpa:348,gid:funk},{name:bossa nova,lpa:203,gid:bossa nova},{name:tango,lpa:148,gid:tango},{name:bebop,lpa:218,gid:bebop},{name:milonga,lpa:378,gid:milonga},{name:house,lpa:321,gid:house},{name:rave,lpa:256,gid:rave},{name:techno,lpa:232,gid:techno},{name:flamenco,lpa:136,gid:flamenco},{name:trap,lpa:379,gid:trap},{name:reggaeton,lpa:350,gid:reggaeton},{name:dance,lpa:239,gid:dance},{name:kizomba,lpa:371,gid:kizomba},{name:jazz,lpa:339,gid:jazz},{name:bachata,lpa:11,gid:bachata},{name:salsa,lpa:201,gid:salsa}]"
"{name:ambient,lpa:170,gid:ambient}",7,"[{name:grindcore,lpa:244,gid:grindcore},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:lounge,lpa:257,gid:lounge},{name:pop,lpa:313,gid:pop},{name:drone,lpa:124,gid:drone},{name:lounge,lpa:257,gid:lounge},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:drone,lpa:124,gid:drone},{name:grindcore,lpa:244,gid:grindcore},{name:pop,lpa:313,gid:pop}]"
"{name:country,lpa:181,gid:country}",24,"[{name:rock,lpa:165,gid:rock},{name:dance,lpa:239,gid:dance},{name:americana,lpa:231,gid:americana},{name:blues,lpa:337,gid:blues},{name:pop,lpa:313,gid:pop},{name:jazz,lpa:339,gid:jazz},{name:soul,lpa:303,gid:soul},{name:jazz,lpa:339,gid:jazz},{name:dance,lpa:239,gid:dance},{name:americana,lpa:231,gid:americana},{name:rock,lpa:165,gid:rock},{name:blues,lpa:337,gid:blues},{name:pop,lpa:313,gid:pop},{name:soul,lpa:303,gid:soul}]"
