g,popu,collect(g1)
"{name:pop,lpa:313,gid:pop}",147,"[{name:house,lpa:321,gid:house},{name:milonga,lpa:378,gid:milonga},{name:experimental,lpa:329,gid:experimental},{name:blues,lpa:337,gid:blues},{name:flamenco,lpa:136,gid:flamenco},{name:musical,lpa:357,gid:musical},{name:soul,lpa:303,gid:soul},{name:electro,lpa:127,gid:electro},{name:schlager,lpa:286,gid:schlager},{name:fusion,lpa:139,gid:fusion},{name:progressive,lpa:328,gid:progressive},{name:latin,lpa:169,gid:latin},{name:techno,lpa:232,gid:techno},{name:dance,lpa:239,gid:dance},{name:shoegaze,lpa:229,gid:shoegaze},{name:club,lpa:208,gid:club},{name:metal,lpa:354,gid:metal},{name:indie,lpa:145,gid:indie},{name:rave,lpa:256,gid:rave},{name:reggae,lpa:338,gid:reggae},{name:psychedelic,lpa:164,gid:psychedelic},{name:jazz,lpa:339,gid:jazz},{name:trap,lpa:379,gid:trap},{name:tango,lpa:148,gid:tango},{name:ambient,lpa:170,gid:ambient},{name:opera,lpa:314,gid:opera},{name:kizomba,lpa:371,gid:kizomba},{name:country,lpa:181,gid:country},{name:glam,lpa:200,gid:glam},{name:rock,lpa:165,gid:rock},{name:reggaeton,lpa:350,gid:reggaeton},{name:dubstep,lpa:1,gid:dubstep},{name:trance,lpa:281,gid:trance},{name:funk,lpa:348,gid:funk},{name:ballad,lpa:211,gid:ballad},{name:folk,lpa:322,gid:folk},{name:disco,lpa:146,gid:disco},{name:reggae,lpa:338,gid:reggae},{name:indie,lpa:145,gid:indie},{name:electro,lpa:127,gid:electro},{name:rave,lpa:256,gid:rave},{name:blues,lpa:337,gid:blues},{name:flamenco,lpa:136,gid:flamenco},{name:progressive,lpa:328,gid:progressive},{name:trance,lpa:281,gid:trance},{name:techno,lpa:232,gid:techno},{name:latin,lpa:169,gid:latin},{name:rock,lpa:165,gid:rock},{name:club,lpa:208,gid:club},{name:opera,lpa:314,gid:opera},{name:milonga,lpa:378,gid:milonga},{name:glam,lpa:200,gid:glam},{name:dance,lpa:239,gid:dance},{name:experimental,lpa:329,gid:experimental},{name:trap,lpa:379,gid:trap},{name:psychedelic,lpa:164,gid:psychedelic},{name:ambient,lpa:170,gid:ambient},{name:fusion,lpa:139,gid:fusion},{name:dubstep,lpa:1,gid:dubstep},{name:disco,lpa:146,gid:disco},{name:soul,lpa:303,gid:soul},{name:metal,lpa:354,gid:metal},{name:house,lpa:321,gid:house},{name:folk,lpa:322,gid:folk},{name:schlager,lpa:286,gid:schlager},{name:shoegaze,lpa:229,gid:shoegaze},{name:jazz,lpa:339,gid:jazz},{name:country,lpa:181,gid:country},{name:funk,lpa:348,gid:funk},{name:reggaeton,lpa:350,gid:reggaeton},{name:musical,lpa:357,gid:musical},{name:kizomba,lpa:371,gid:kizomba},{name:tango,lpa:148,gid:tango},{name:ballad,lpa:211,gid:ballad}]"
"{name:opera,lpa:314,gid:opera}",172,"[{name:classical,lpa:132,gid:classical},{name:kizomba,lpa:371,gid:kizomba},{name:folk,lpa:322,gid:folk},{name:garage,lpa:183,gid:garage},{name:trance,lpa:281,gid:trance},{name:latin,lpa:169,gid:latin},{name:house,lpa:321,gid:house},{name:comedy,lpa:278,gid:comedy},{name:reggae,lpa:338,gid:reggae},{name:techno,lpa:232,gid:techno},{name:disco,lpa:146,gid:disco},{name:pop,lpa:313,gid:pop},{name:rock,lpa:165,gid:rock},{name:jazz,lpa:339,gid:jazz},{name:musical,lpa:357,gid:musical},{name:tango,lpa:148,gid:tango},{name:flamenco,lpa:136,gid:flamenco},{name:trap,lpa:379,gid:trap},{name:indie,lpa:145,gid:indie},{name:electro,lpa:127,gid:electro},{name:club,lpa:208,gid:club},{name:milonga,lpa:378,gid:milonga},{name:dance,lpa:239,gid:dance},{name:rave,lpa:256,gid:rave},{name:disco,lpa:146,gid:disco},{name:techno,lpa:232,gid:techno},{name:kizomba,lpa:371,gid:kizomba},{name:folk,lpa:322,gid:folk},{name:musical,lpa:357,gid:musical},{name:comedy,lpa:278,gid:comedy},{name:rave,lpa:256,gid:rave},{name:tango,lpa:148,gid:tango},{name:garage,lpa:183,gid:garage},{name:flamenco,lpa:136,gid:flamenco},{name:trance,lpa:281,gid:trance},{name:jazz,lpa:339,gid:jazz},{name:dance,lpa:239,gid:dance},{name:club,lpa:208,gid:club},{name:trap,lpa:379,gid:trap},{name:milonga,lpa:378,gid:milonga},{name:pop,lpa:313,gid:pop},{name:electro,lpa:127,gid:electro},{name:reggae,lpa:338,gid:reggae},{name:classical,lpa:132,gid:classical},{name:house,lpa:321,gid:house},{name:rock,lpa:165,gid:rock},{name:indie,lpa:145,gid:indie},{name:latin,lpa:169,gid:latin}]"
"{name:house,lpa:321,gid:house}",73,"[{name:progressive,lpa:328,gid:progressive},{name:rave,lpa:256,gid:rave},{name:electronic,lpa:163,gid:electronic},{name:funk,lpa:348,gid:funk},{name:club,lpa:208,gid:club},{name:techno,lpa:232,gid:techno},{name:flamenco,lpa:136,gid:flamenco},{name:disco,lpa:146,gid:disco},{name:drone,lpa:124,gid:drone},{name:minimal,lpa:223,gid:minimal},{name:milonga,lpa:378,gid:milonga},{name:latin,lpa:169,gid:latin},{name:kizomba,lpa:371,gid:kizomba},{name:dance,lpa:239,gid:dance},{name:electronica,lpa:192,gid:electronica},{name:guaracha,lpa:168,gid:guaracha},{name:tango,lpa:148,gid:tango},{name:rock,lpa:165,gid:rock},{name:metal,lpa:354,gid:metal},{name:pop,lpa:313,gid:pop},{name:opera,lpa:314,gid:opera},{name:lounge,lpa:257,gid:lounge},{name:trap,lpa:379,gid:trap},{name:electro,lpa:127,gid:electro},{name:trance,lpa:281,gid:trance},{name:pop,lpa:313,gid:pop},{name:disco,lpa:146,gid:disco},{name:electro,lpa:127,gid:electro},{name:rave,lpa:256,gid:rave},{name:club,lpa:208,gid:club},{name:metal,lpa:354,gid:metal},{name:opera,lpa:314,gid:opera},{name:lounge,lpa:257,gid:lounge},{name:electronic,lpa:163,gid:electronic},{name:kizomba,lpa:371,gid:kizomba},{name:latin,lpa:169,gid:latin},{name:flamenco,lpa:136,gid:flamenco},{name:electronica,lpa:192,gid:electronica},{name:progressive,lpa:328,gid:progressive},{name:drone,lpa:124,gid:drone},{name:guaracha,lpa:168,gid:guaracha},{name:rock,lpa:165,gid:rock},{name:funk,lpa:348,gid:funk},{name:techno,lpa:232,gid:techno},{name:tango,lpa:148,gid:tango},{name:trap,lpa:379,gid:trap},{name:minimal,lpa:223,gid:minimal},{name:trance,lpa:281,gid:trance},{name:milonga,lpa:378,gid:milonga},{name:dance,lpa:239,gid:dance}]"
"{name:folk,lpa:322,gid:folk}",30,"[{name:soul,lpa:303,gid:soul},{name:shoegaze,lpa:229,gid:shoegaze},{name:opera,lpa:314,gid:opera},{name:glam,lpa:200,gid:glam},{name:rock,lpa:165,gid:rock},{name:punk,lpa:282,gid:punk},{name:swing,lpa:340,gid:swing},{name:tango,lpa:148,gid:tango},{name:fusion,lpa:139,gid:fusion},{name:metal,lpa:354,gid:metal},{name:experimental,lpa:329,gid:experimental},{name:psychedelic,lpa:164,gid:psychedelic},{name:jazz,lpa:339,gid:jazz},{name:indie,lpa:145,gid:indie},{name:blues,lpa:337,gid:blues},{name:pop,lpa:313,gid:pop},{name:progressive,lpa:328,gid:progressive},{name:opera,lpa:314,gid:opera},{name:experimental,lpa:329,gid:experimental},{name:psychedelic,lpa:164,gid:psychedelic},{name:jazz,lpa:339,gid:jazz},{name:punk,lpa:282,gid:punk},{name:metal,lpa:354,gid:metal},{name:fusion,lpa:139,gid:fusion},{name:rock,lpa:165,gid:rock},{name:glam,lpa:200,gid:glam},{name:indie,lpa:145,gid:indie},{name:swing,lpa:340,gid:swing},{name:progressive,lpa:328,gid:progressive},{name:soul,lpa:303,gid:soul},{name:blues,lpa:337,gid:blues},{name:tango,lpa:148,gid:tango},{name:shoegaze,lpa:229,gid:shoegaze},{name:pop,lpa:313,gid:pop}]"
"{name:progressive,lpa:328,gid:progressive}",14,"[{name:lounge,lpa:257,gid:lounge},{name:shoegaze,lpa:229,gid:shoegaze},{name:jazz,lpa:339,gid:jazz},{name:fusion,lpa:139,gid:fusion},{name:experimental,lpa:329,gid:experimental},{name:pop,lpa:313,gid:pop},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:techno,lpa:232,gid:techno},{name:glam,lpa:200,gid:glam},{name:indie,lpa:145,gid:indie},{name:soul,lpa:303,gid:soul},{name:blues,lpa:337,gid:blues},{name:house,lpa:321,gid:house},{name:trance,lpa:281,gid:trance},{name:minimal,lpa:223,gid:minimal},{name:folk,lpa:322,gid:folk},{name:psychedelic,lpa:164,gid:psychedelic},{name:club,lpa:208,gid:club},{name:electro,lpa:127,gid:electro},{name:soul,lpa:303,gid:soul},{name:house,lpa:321,gid:house},{name:minimal,lpa:223,gid:minimal},{name:metal,lpa:354,gid:metal},{name:glam,lpa:200,gid:glam},{name:psychedelic,lpa:164,gid:psychedelic},{name:trance,lpa:281,gid:trance},{name:blues,lpa:337,gid:blues},{name:pop,lpa:313,gid:pop},{name:fusion,lpa:139,gid:fusion},{name:indie,lpa:145,gid:indie},{name:jazz,lpa:339,gid:jazz},{name:club,lpa:208,gid:club},{name:techno,lpa:232,gid:techno},{name:shoegaze,lpa:229,gid:shoegaze},{name:experimental,lpa:329,gid:experimental},{name:folk,lpa:322,gid:folk},{name:rock,lpa:165,gid:rock},{name:lounge,lpa:257,gid:lounge},{name:electro,lpa:127,gid:electro}]"
"{name:experimental,lpa:329,gid:experimental}",4,"[{name:folk,lpa:322,gid:folk},{name:chillout,lpa:307,gid:chillout},{name:electronica,lpa:192,gid:electronica},{name:downtempo,lpa:156,gid:downtempo},{name:minimal,lpa:223,gid:minimal},{name:soul,lpa:303,gid:soul},{name:rock,lpa:165,gid:rock},{name:shoegaze,lpa:229,gid:shoegaze},{name:industrial,lpa:342,gid:industrial},{name:pop,lpa:313,gid:pop},{name:metal,lpa:354,gid:metal},{name:jazz,lpa:339,gid:jazz},{name:progressive,lpa:328,gid:progressive},{name:blues,lpa:337,gid:blues},{name:glam,lpa:200,gid:glam},{name:fusion,lpa:139,gid:fusion},{name:techno,lpa:232,gid:techno},{name:indie,lpa:145,gid:indie},{name:psychedelic,lpa:164,gid:psychedelic},{name:pop,lpa:313,gid:pop},{name:progressive,lpa:328,gid:progressive},{name:blues,lpa:337,gid:blues},{name:minimal,lpa:223,gid:minimal},{name:jazz,lpa:339,gid:jazz},{name:psychedelic,lpa:164,gid:psychedelic},{name:techno,lpa:232,gid:techno},{name:indie,lpa:145,gid:indie},{name:electronica,lpa:192,gid:electronica},{name:folk,lpa:322,gid:folk},{name:soul,lpa:303,gid:soul},{name:shoegaze,lpa:229,gid:shoegaze},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:chillout,lpa:307,gid:chillout},{name:downtempo,lpa:156,gid:downtempo},{name:glam,lpa:200,gid:glam},{name:fusion,lpa:139,gid:fusion},{name:industrial,lpa:342,gid:industrial}]"
"{name:blues,lpa:337,gid:blues}",71,"[{name:fusion,lpa:139,gid:fusion},{name:shoegaze,lpa:229,gid:shoegaze},{name:soul,lpa:303,gid:soul},{name:chanson,lpa:344,gid:chanson},{name:funk,lpa:348,gid:funk},{name:pop,lpa:313,gid:pop},{name:ska,lpa:135,gid:ska},{name:psychedelic,lpa:164,gid:psychedelic},{name:jazz,lpa:339,gid:jazz},{name:mambo,lpa:95,gid:mambo},{name:metal,lpa:354,gid:metal},{name:rock,lpa:165,gid:rock},{name:progressive,lpa:328,gid:progressive},{name:experimental,lpa:329,gid:experimental},{name:reggae,lpa:338,gid:reggae},{name:ballad,lpa:211,gid:ballad},{name:punk,lpa:282,gid:punk},{name:country,lpa:181,gid:country},{name:rave,lpa:256,gid:rave},{name:orchestral,lpa:8,gid:orchestral},{name:glam,lpa:200,gid:glam},{name:indie,lpa:145,gid:indie},{name:dance,lpa:239,gid:dance},{name:musical,lpa:357,gid:musical},{name:folk,lpa:322,gid:folk},{name:indie,lpa:145,gid:indie},{name:funk,lpa:348,gid:funk},{name:pop,lpa:313,gid:pop},{name:musical,lpa:357,gid:musical},{name:glam,lpa:200,gid:glam},{name:chanson,lpa:344,gid:chanson},{name:dance,lpa:239,gid:dance},{name:orchestral,lpa:8,gid:orchestral},{name:soul,lpa:303,gid:soul},{name:ballad,lpa:211,gid:ballad},{name:psychedelic,lpa:164,gid:psychedelic},{name:punk,lpa:282,gid:punk},{name:country,lpa:181,gid:country},{name:mambo,lpa:95,gid:mambo},{name:progressive,lpa:328,gid:progressive},{name:jazz,lpa:339,gid:jazz},{name:shoegaze,lpa:229,gid:shoegaze},{name:rock,lpa:165,gid:rock},{name:fusion,lpa:139,gid:fusion},{name:metal,lpa:354,gid:metal},{name:experimental,lpa:329,gid:experimental},{name:folk,lpa:322,gid:folk},{name:rave,lpa:256,gid:rave},{name:ska,lpa:135,gid:ska},{name:reggae,lpa:338,gid:reggae}]"
"{name:reggae,lpa:338,gid:reggae}",14,"[{name:pop,lpa:313,gid:pop},{name:trap,lpa:379,gid:trap},{name:dancehall,lpa:237,gid:dancehall},{name:jazz,lpa:339,gid:jazz},{name:minimal,lpa:223,gid:minimal},{name:soul,lpa:303,gid:soul},{name:opera,lpa:314,gid:opera},{name:blues,lpa:337,gid:blues},{name:rock,lpa:165,gid:rock},{name:trap,lpa:379,gid:trap},{name:soul,lpa:303,gid:soul},{name:blues,lpa:337,gid:blues},{name:dancehall,lpa:237,gid:dancehall},{name:opera,lpa:314,gid:opera},{name:minimal,lpa:223,gid:minimal},{name:jazz,lpa:339,gid:jazz},{name:pop,lpa:313,gid:pop},{name:rock,lpa:165,gid:rock}]"
"{name:jazz,lpa:339,gid:jazz}",294,"[{name:country,lpa:181,gid:country},{name:rock,lpa:165,gid:rock},{name:salsa,lpa:201,gid:salsa},{name:metal,lpa:354,gid:metal},{name:tango,lpa:148,gid:tango},{name:instrumental,lpa:137,gid:instrumental},{name:bluegrass,lpa:157,gid:bluegrass},{name:electro,lpa:127,gid:electro},{name:glam,lpa:200,gid:glam},{name:shoegaze,lpa:229,gid:shoegaze},{name:folk,lpa:322,gid:folk},{name:experimental,lpa:329,gid:experimental},{name:disco,lpa:146,gid:disco},{name:psychedelic,lpa:164,gid:psychedelic},{name:swing,lpa:340,gid:swing},{name:fusion,lpa:139,gid:fusion},{name:progressive,lpa:328,gid:progressive},{name:blues,lpa:337,gid:blues},{name:musical,lpa:357,gid:musical},{name:opera,lpa:314,gid:opera},{name:lounge,lpa:257,gid:lounge},{name:reggae,lpa:338,gid:reggae},{name:dance,lpa:239,gid:dance},{name:ballad,lpa:211,gid:ballad},{name:drone,lpa:124,gid:drone},{name:bebop,lpa:218,gid:bebop},{name:pop,lpa:313,gid:pop},{name:timba,lpa:391,gid:timba},{name:indie,lpa:145,gid:indie},{name:funk,lpa:348,gid:funk},{name:bossa nova,lpa:203,gid:bossa nova},{name:club,lpa:208,gid:club},{name:latin,lpa:169,gid:latin},{name:soul,lpa:303,gid:soul},{name:bebop,lpa:218,gid:bebop},{name:lounge,lpa:257,gid:lounge},{name:progressive,lpa:328,gid:progressive},{name:fusion,lpa:139,gid:fusion},{name:bluegrass,lpa:157,gid:bluegrass},{name:rock,lpa:165,gid:rock},{name:blues,lpa:337,gid:blues},{name:timba,lpa:391,gid:timba},{name:tango,lpa:148,gid:tango},{name:salsa,lpa:201,gid:salsa},{name:reggae,lpa:338,gid:reggae},{name:indie,lpa:145,gid:indie},{name:ballad,lpa:211,gid:ballad},{name:folk,lpa:322,gid:folk},{name:latin,lpa:169,gid:latin},{name:glam,lpa:200,gid:glam},{name:soul,lpa:303,gid:soul},{name:opera,lpa:314,gid:opera},{name:electro,lpa:127,gid:electro},{name:metal,lpa:354,gid:metal},{name:drone,lpa:124,gid:drone},{name:pop,lpa:313,gid:pop},{name:musical,lpa:357,gid:musical},{name:experimental,lpa:329,gid:experimental},{name:instrumental,lpa:137,gid:instrumental},{name:disco,lpa:146,gid:disco},{name:dance,lpa:239,gid:dance},{name:psychedelic,lpa:164,gid:psychedelic},{name:bossa nova,lpa:203,gid:bossa nova},{name:club,lpa:208,gid:club},{name:country,lpa:181,gid:country},{name:funk,lpa:348,gid:funk},{name:swing,lpa:340,gid:swing},{name:shoegaze,lpa:229,gid:shoegaze}]"
"{name:swing,lpa:340,gid:swing}",24,"[{name:rock,lpa:165,gid:rock},{name:tango,lpa:148,gid:tango},{name:folk,lpa:322,gid:folk},{name:drone,lpa:124,gid:drone},{name:jazz,lpa:339,gid:jazz},{name:rock,lpa:165,gid:rock},{name:folk,lpa:322,gid:folk},{name:jazz,lpa:339,gid:jazz},{name:drone,lpa:124,gid:drone},{name:tango,lpa:148,gid:tango}]"
"{name:industrial,lpa:342,gid:industrial}",7,"[{name:minimal,lpa:223,gid:minimal},{name:techno,lpa:232,gid:techno},{name:chillout,lpa:307,gid:chillout},{name:downtempo,lpa:156,gid:downtempo},{name:electronica,lpa:192,gid:electronica},{name:experimental,lpa:329,gid:experimental},{name:minimal,lpa:223,gid:minimal},{name:chillout,lpa:307,gid:chillout},{name:techno,lpa:232,gid:techno},{name:experimental,lpa:329,gid:experimental},{name:electronica,lpa:192,gid:electronica},{name:downtempo,lpa:156,gid:downtempo}]"
"{name:chanson,lpa:344,gid:chanson}",1,"[{name:blues,lpa:337,gid:blues},{name:ballad,lpa:211,gid:ballad},{name:mambo,lpa:95,gid:mambo},{name:dance,lpa:239,gid:dance},{name:blues,lpa:337,gid:blues},{name:dance,lpa:239,gid:dance},{name:mambo,lpa:95,gid:mambo},{name:ballad,lpa:211,gid:ballad}]"
"{name:funk,lpa:348,gid:funk}",21,"[{name:orchestral,lpa:8,gid:orchestral},{name:trap,lpa:379,gid:trap},{name:blues,lpa:337,gid:blues},{name:instrumental,lpa:137,gid:instrumental},{name:disco,lpa:146,gid:disco},{name:bebop,lpa:218,gid:bebop},{name:latin,lpa:169,gid:latin},{name:salsa,lpa:201,gid:salsa},{name:ska,lpa:135,gid:ska},{name:soul,lpa:303,gid:soul},{name:dance,lpa:239,gid:dance},{name:rock,lpa:165,gid:rock},{name:punk,lpa:282,gid:punk},{name:house,lpa:321,gid:house},{name:fusion,lpa:139,gid:fusion},{name:pop,lpa:313,gid:pop},{name:indie,lpa:145,gid:indie},{name:jazz,lpa:339,gid:jazz},{name:club,lpa:208,gid:club},{name:instrumental,lpa:137,gid:instrumental},{name:latin,lpa:169,gid:latin},{name:dance,lpa:239,gid:dance},{name:blues,lpa:337,gid:blues},{name:soul,lpa:303,gid:soul},{name:house,lpa:321,gid:house},{name:rock,lpa:165,gid:rock},{name:salsa,lpa:201,gid:salsa},{name:indie,lpa:145,gid:indie},{name:orchestral,lpa:8,gid:orchestral},{name:bebop,lpa:218,gid:bebop},{name:disco,lpa:146,gid:disco},{name:fusion,lpa:139,gid:fusion},{name:punk,lpa:282,gid:punk},{name:ska,lpa:135,gid:ska},{name:jazz,lpa:339,gid:jazz},{name:club,lpa:208,gid:club},{name:trap,lpa:379,gid:trap},{name:pop,lpa:313,gid:pop}]"
"{name:reggaeton,lpa:350,gid:reggaeton}",70,"[{name:disco,lpa:146,gid:disco},{name:dance,lpa:239,gid:dance},{name:bachata,lpa:11,gid:bachata},{name:merengue,lpa:71,gid:merengue},{name:rumba,lpa:93,gid:rumba},{name:salsa,lpa:201,gid:salsa},{name:timba,lpa:391,gid:timba},{name:latin,lpa:169,gid:latin},{name:trap,lpa:379,gid:trap},{name:club,lpa:208,gid:club},{name:pop,lpa:313,gid:pop},{name:lounge,lpa:257,gid:lounge},{name:disco,lpa:146,gid:disco},{name:merengue,lpa:71,gid:merengue},{name:timba,lpa:391,gid:timba},{name:trap,lpa:379,gid:trap},{name:dance,lpa:239,gid:dance},{name:lounge,lpa:257,gid:lounge},{name:club,lpa:208,gid:club},{name:bachata,lpa:11,gid:bachata},{name:latin,lpa:169,gid:latin},{name:salsa,lpa:201,gid:salsa},{name:pop,lpa:313,gid:pop},{name:rumba,lpa:93,gid:rumba}]"
"{name:metal,lpa:354,gid:metal}",48,"[{name:soul,lpa:303,gid:soul},{name:punk,lpa:282,gid:punk},{name:ambient,lpa:170,gid:ambient},{name:progressive,lpa:328,gid:progressive},{name:club,lpa:208,gid:club},{name:tango,lpa:148,gid:tango},{name:rock,lpa:165,gid:rock},{name:house,lpa:321,gid:house},{name:glam,lpa:200,gid:glam},{name:milonga,lpa:378,gid:milonga},{name:folk,lpa:322,gid:folk},{name:metalcore,lpa:275,gid:metalcore},{name:jazz,lpa:339,gid:jazz},{name:disco,lpa:146,gid:disco},{name:experimental,lpa:329,gid:experimental},{name:grindcore,lpa:244,gid:grindcore},{name:blues,lpa:337,gid:blues},{name:pop,lpa:313,gid:pop},{name:psychedelic,lpa:164,gid:psychedelic},{name:shoegaze,lpa:229,gid:shoegaze},{name:indie,lpa:145,gid:indie},{name:drone,lpa:124,gid:drone},{name:fusion,lpa:139,gid:fusion},{name:rock,lpa:165,gid:rock},{name:jazz,lpa:339,gid:jazz},{name:milonga,lpa:378,gid:milonga},{name:metalcore,lpa:275,gid:metalcore},{name:soul,lpa:303,gid:soul},{name:blues,lpa:337,gid:blues},{name:disco,lpa:146,gid:disco},{name:progressive,lpa:328,gid:progressive},{name:shoegaze,lpa:229,gid:shoegaze},{name:psychedelic,lpa:164,gid:psychedelic},{name:club,lpa:208,gid:club},{name:folk,lpa:322,gid:folk},{name:drone,lpa:124,gid:drone},{name:pop,lpa:313,gid:pop},{name:ambient,lpa:170,gid:ambient},{name:indie,lpa:145,gid:indie},{name:glam,lpa:200,gid:glam},{name:grindcore,lpa:244,gid:grindcore},{name:experimental,lpa:329,gid:experimental},{name:house,lpa:321,gid:house},{name:tango,lpa:148,gid:tango},{name:fusion,lpa:139,gid:fusion},{name:punk,lpa:282,gid:punk}]"
"{name:musical,lpa:357,gid:musical}",44,"[{name:rock,lpa:165,gid:rock},{name:blues,lpa:337,gid:blues},{name:opera,lpa:314,gid:opera},{name:club,lpa:208,gid:club},{name:dance,lpa:239,gid:dance},{name:jazz,lpa:339,gid:jazz},{name:pop,lpa:313,gid:pop},{name:dance,lpa:239,gid:dance},{name:pop,lpa:313,gid:pop},{name:jazz,lpa:339,gid:jazz},{name:opera,lpa:314,gid:opera},{name:club,lpa:208,gid:club},{name:blues,lpa:337,gid:blues},{name:rock,lpa:165,gid:rock}]"
"{name:alternative rock,lpa:360,gid:alternative rock}",1,"[{name:disco,lpa:146,gid:disco},{name:dance,lpa:239,gid:dance},{name:disco,lpa:146,gid:disco},{name:dance,lpa:239,gid:dance}]"
"{name:kizomba,lpa:371,gid:kizomba}",6,"[{name:disco,lpa:146,gid:disco},{name:trap,lpa:379,gid:trap},{name:opera,lpa:314,gid:opera},{name:electro,lpa:127,gid:electro},{name:salsa,lpa:201,gid:salsa},{name:trance,lpa:281,gid:trance},{name:techno,lpa:232,gid:techno},{name:house,lpa:321,gid:house},{name:club,lpa:208,gid:club},{name:tango,lpa:148,gid:tango},{name:dance,lpa:239,gid:dance},{name:bachata,lpa:11,gid:bachata},{name:flamenco,lpa:136,gid:flamenco},{name:latin,lpa:169,gid:latin},{name:pop,lpa:313,gid:pop},{name:milonga,lpa:378,gid:milonga},{name:rave,lpa:256,gid:rave},{name:opera,lpa:314,gid:opera},{name:dance,lpa:239,gid:dance},{name:bachata,lpa:11,gid:bachata},{name:techno,lpa:232,gid:techno},{name:tango,lpa:148,gid:tango},{name:disco,lpa:146,gid:disco},{name:trap,lpa:379,gid:trap},{name:rave,lpa:256,gid:rave},{name:milonga,lpa:378,gid:milonga},{name:house,lpa:321,gid:house},{name:latin,lpa:169,gid:latin},{name:flamenco,lpa:136,gid:flamenco},{name:salsa,lpa:201,gid:salsa},{name:pop,lpa:313,gid:pop},{name:electro,lpa:127,gid:electro},{name:club,lpa:208,gid:club},{name:trance,lpa:281,gid:trance}]"
"{name:milonga,lpa:378,gid:milonga}",28,"[{name:metal,lpa:354,gid:metal},{name:trance,lpa:281,gid:trance},{name:club,lpa:208,gid:club},{name:flamenco,lpa:136,gid:flamenco},{name:techno,lpa:232,gid:techno},{name:rock,lpa:165,gid:rock},{name:tango,lpa:148,gid:tango},{name:latin,lpa:169,gid:latin},{name:electro,lpa:127,gid:electro},{name:kizomba,lpa:371,gid:kizomba},{name:pop,lpa:313,gid:pop},{name:trap,lpa:379,gid:trap},{name:opera,lpa:314,gid:opera},{name:indie,lpa:145,gid:indie},{name:rave,lpa:256,gid:rave},{name:dance,lpa:239,gid:dance},{name:disco,lpa:146,gid:disco},{name:house,lpa:321,gid:house},{name:latin,lpa:169,gid:latin},{name:pop,lpa:313,gid:pop},{name:trance,lpa:281,gid:trance},{name:dance,lpa:239,gid:dance},{name:indie,lpa:145,gid:indie},{name:flamenco,lpa:136,gid:flamenco},{name:disco,lpa:146,gid:disco},{name:metal,lpa:354,gid:metal},{name:club,lpa:208,gid:club},{name:house,lpa:321,gid:house},{name:trap,lpa:379,gid:trap},{name:electro,lpa:127,gid:electro},{name:techno,lpa:232,gid:techno},{name:rave,lpa:256,gid:rave},{name:rock,lpa:165,gid:rock},{name:opera,lpa:314,gid:opera},{name:kizomba,lpa:371,gid:kizomba},{name:tango,lpa:148,gid:tango}]"
"{name:trap,lpa:379,gid:trap}",108,"[{name:reggae,lpa:338,gid:reggae},{name:reggaeton,lpa:350,gid:reggaeton},{name:indie,lpa:145,gid:indie},{name:instrumental,lpa:137,gid:instrumental},{name:kizomba,lpa:371,gid:kizomba},{name:drone,lpa:124,gid:drone},{name:disco,lpa:146,gid:disco},{name:rave,lpa:256,gid:rave},{name:milonga,lpa:378,gid:milonga},{name:pop,lpa:313,gid:pop},{name:grunge,lpa:7,gid:grunge},{name:rock,lpa:165,gid:rock},{name:opera,lpa:314,gid:opera},{name:trance,lpa:281,gid:trance},{name:soul,lpa:303,gid:soul},{name:schlager,lpa:286,gid:schlager},{name:latin,lpa:169,gid:latin},{name:flamenco,lpa:136,gid:flamenco},{name:electro,lpa:127,gid:electro},{name:dance,lpa:239,gid:dance},{name:dubstep,lpa:1,gid:dubstep},{name:tango,lpa:148,gid:tango},{name:house,lpa:321,gid:house},{name:funk,lpa:348,gid:funk},{name:techno,lpa:232,gid:techno},{name:club,lpa:208,gid:club},{name:celtic,lpa:290,gid:celtic},{name:funk,lpa:348,gid:funk},{name:kizomba,lpa:371,gid:kizomba},{name:tango,lpa:148,gid:tango},{name:club,lpa:208,gid:club},{name:techno,lpa:232,gid:techno},{name:flamenco,lpa:136,gid:flamenco},{name:indie,lpa:145,gid:indie},{name:rock,lpa:165,gid:rock},{name:reggae,lpa:338,gid:reggae},{name:grunge,lpa:7,gid:grunge},{name:rave,lpa:256,gid:rave},{name:dubstep,lpa:1,gid:dubstep},{name:celtic,lpa:290,gid:celtic},{name:instrumental,lpa:137,gid:instrumental},{name:soul,lpa:303,gid:soul},{name:dance,lpa:239,gid:dance},{name:milonga,lpa:378,gid:milonga},{name:trance,lpa:281,gid:trance},{name:opera,lpa:314,gid:opera},{name:electro,lpa:127,gid:electro},{name:pop,lpa:313,gid:pop},{name:disco,lpa:146,gid:disco},{name:schlager,lpa:286,gid:schlager},{name:reggaeton,lpa:350,gid:reggaeton},{name:house,lpa:321,gid:house},{name:latin,lpa:169,gid:latin},{name:drone,lpa:124,gid:drone}]"
